*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	Warning	警告	警告
	Error	错误	錯誤
	no title	无标题	無標題
	Unknown	未知	未知
	Freezing	冰冻	冰凍
	Poisoned	中毒	中毒
	Fire Resist	火焰抵抗	火焰抵抗
	Cold Resist	冰冷抵抗	冰冷抵抗
	Lightning Resist	闪电抵抗	閃電抵抗
	Normal	普通	普通
			
100	Foundry	铸造台	鑄造臺
	Level	等级	等級
	Owner	拥有者	擁有者
	Quality	质量	質量
	Defence	防御	防御
	Quantity	数量	數量
	Durability	耐久度	耐久度
	Property Transparency	属性悬浮窗透明度	屬性懸浮窗透明度
	Hide	隐藏	隱藏
	Socket	有孔	有孔
	Indestructible	不可修复	不可修復
	Ethereal	不可破坏	不可破壞
	Found	锻造	鑄造
	Prefix Suffix	前后缀	前后綴
	Add	添加	添加
	Edit	编辑	編輯
	Delete	删除	刪除
*=======================菜单项的提示信息			
	Create a new character	创建新角色	創建新角色
	Open an existing character	打开现有角色	打開現有角色
	Save current character	保存当前角色	保存當前角色
	Save current character to another file	用新文件保存当前角色	用新文件保存當前角色
	Close current character	关闭当前角色；提示保存	關閉當前角色；提示保存
	Exit the application	退出应用程序；提示保存	退出應用程序；提示保存
	Show/Hide toolbar	显示或隐藏工具栏	顯示或隱藏工具欄
	Show/Hide status bar	显示或隐藏状态栏	顯示或隱藏狀態欄
	"Show application info, version and license"	显示程序信息、版本号和版权	顯示程序信息、版本號和版權
	Import an item from file	从文件导入一件装备	從文件導入一件裝備
	Save the item to a file	将装备导出到文件	將裝備導出到文件
	Copy the item	复制装备	複製裝備
	Paste the item copied	粘贴已复制的装备	粘貼已複製的裝備
	Modify the item	修改装备的属性	修改裝備的屬性
	Create a new item	创建新装备	創建新裝備
	Create a new item from current one	创建新装备并复制当前装备的属性	創建新裝備并複製當前裝備的屬性
	Remove the item	删除装备	刪除裝備
*=======================角色物品UI弹出菜单			
	&Import	导入(&I)	導入(&I)
	&Export	导出(&E)	導出(&E)
	&Copy	复制(&C)	複製(&C)
	&Paste	粘贴(&P)	粘貼(&P)
	&Modify	修改(&M)	修改(&M)
	&New	新建(&N)	新建(&N)
	&New from	从当前新建(&N)	從當前新建(&N)
	&Remove	删除(&R)	刪除(&R)
*=======================系统菜单			
	&File	文件(&F)	文件(&F)
	&View	视图(&V)	視圖(&V)
	&Help	帮助(&H)	幫助(&H)
	&New	新建(&N)	新建(&N)
	&Open	打开(&O)	打開(&O)
	&Save	保存(&S)	保存(&S)
	Save &As …	另存为(&A)…	另存為(&A)…
	&Close	关闭(&C)	關閉(&C)
	E&xit	退出(&X)	退出(&X)
	Tool &Bar	工具栏(&B)	工具欄(&B)
	S&tatus Bar	状态栏(&T)	狀態欄(&T)
	&Language	语言(&L)	語言(&L)
	&About Diablo Edit …	关于Diablo Edit(&A) …	關於Diablo Edit(&A) …
*=======================其他窗口UI			
	Please Choose a character class	请选择角色	請選擇角色
	Amazon Skills	亚马逊技能	亞馬遜技能
	Sorceress Skills	法师技能	法師技能
	Necromancer Skills	死灵法师技能	死靈法師技能
	Paladin Skills	圣骑士技能	聖騎士技能
	Barbarian Skills	野蛮人技能	野蠻人技能
	Druid Skills	德鲁依技能	德魯依技能
	Assassin Skills	刺客技能	刺客技能
	All	全部	全部
	Items	物品	物品
*=======================新建物品窗口UI			
	New Item	创建物品	創建物品
	Create	创建	創建
	Cancel	取消	取消
*=======================铸造台窗口UI			
	Level	等级	等級
	Owner	拥有者	擁有者
	Class	角色	角色
	Unidentified	未辨识	未辨識
	Ethereal	无形	無形
	Durability	耐久度	耐久度
	Indestructible	无法破坏	無法破壞
	Quantity	数量	數量
	Quality	质量	質量
	Sockets	镶孔	鑲孔
	Defence	防御	防禦
	Monster	怪物	怪物
	First Name	名字一	名字1
	Second Name	名字二	名字2
	Sub Type	子类	子類
	Prefix 1	前缀1	前綴1
	Suffix 1	后缀1	後綴1
	Set Name	套装名称	套裝名字
	Unique Name	暗金装备	暗金裝備
	Rune Word	符文之语	符文之語
	Save	保存	保存
	Cancel	取消	取消
	Properties	属性	屬性
	Set 1	套装1	套裝1
	Set 2	套装2	套裝2
	Set 3	套装3	套裝3
	Set 4	套装4	套裝4
	Set 5	套装5	套裝5
	Rune Word	符文之语	符文之語
	Code	代码	代碼
	Description	说明	説明
*=======================物品属性悬浮窗口UI			
	Crude	粗糙的	粗糙的
	Superior	超强的	超強的
	Defence: %d	防御: %d	防禦: %d
	One Hand Damage: %d to %d	单手伤害: %d 到 %d	單手傷害: %d 到 %d
	Two Hands Damage: %d to %d	双手伤害: %d 到 %d	雙手傷害: %d 到 %d
	Quantity: %d	数量：%d	數量：%d
	Durability: %d / %d	耐久度: %d 之 %d	耐久度: %d 之 %d
	Indestructible	无法破坏	無法破壞
